,case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
864,63,TUN,Tunisia,1982,0,0.6157499989999999,0,1,0.06,13.673,1,0,0,no_crisis
865,63,TUN,Tunisia,1983,0,0.7271,0,0,0.0,8.972000000000001,1,0,0,no_crisis
866,63,TUN,Tunisia,1984,0,0.8666,0,0,0.0,8.596,1,0,0,no_crisis
867,63,TUN,Tunisia,1985,0,0.75695,0,0,0.0,7.551,1,0,0,no_crisis
868,63,TUN,Tunisia,1986,0,0.8402,0,0,0.0,6.159,1,1,0,no_crisis
869,63,TUN,Tunisia,1987,0,0.77785,0,0,0.0,8.224,1,0,0,no_crisis
870,63,TUN,Tunisia,1988,0,0.89845,0,0,0.0,7.156000000000001,1,0,0,no_crisis
871,63,TUN,Tunisia,1989,0,0.9046,0,0,0.0,7.722,1,0,0,no_crisis
872,63,TUN,Tunisia,1990,0,0.83675,0,0,0.0,6.502000000000001,1,0,0,no_crisis
873,63,TUN,Tunisia,1991,1,0.8645,0,0,0.0,7.693,1,0,0,crisis
874,63,TUN,Tunisia,1992,1,0.95065,0,0,0.0,5.518,1,0,0,crisis
875,63,TUN,Tunisia,1993,1,1.0466,0,0,0.0,4.04,1,0,0,crisis
876,63,TUN,Tunisia,1994,1,0.9912,0,0,0.0,5.422999999999999,1,0,0,crisis
877,63,TUN,Tunisia,1995,1,0.9508,0,0,0.0,6.232,1,0,0,crisis
878,63,TUN,Tunisia,1996,0,0.9985,0,0,0.0,3.733,1,0,0,no_crisis
879,63,TUN,Tunisia,1997,0,1.1475,0,0,0.0,3.5989999999999998,1,0,0,no_crisis
880,63,TUN,Tunisia,1998,0,1.101,0,0,0.0,3.102,1,0,0,no_crisis
881,63,TUN,Tunisia,1999,0,1.2525,0,0,0.0,2.7680000000000002,1,0,0,no_crisis
882,63,TUN,Tunisia,2000,0,1.3853,0,0,0.0,2.77,1,0,0,no_crisis
883,63,TUN,Tunisia,2001,0,1.4683,0,0,0.0,1.9869999999999999,1,0,0,no_crisis
884,63,TUN,Tunisia,2002,0,1.3341,0,0,0.0,2.7060000000000004,1,0,0,no_crisis
885,63,TUN,Tunisia,2003,0,1.2083,0,0,0.0,2.7239999999999998,1,0,0,no_crisis
886,63,TUN,Tunisia,2004,0,1.1994,0,0,0.0,3.6210000000000004,1,0,0,no_crisis
887,63,TUN,Tunisia,2005,0,1.3634,0,0,0.0,1.444,1,0,0,no_crisis
888,63,TUN,Tunisia,2006,0,1.2971,0,0,0.0,4.143,1,0,0,no_crisis
889,63,TUN,Tunisia,2007,0,1.2207,0,0,0.0,3.438,1,0,0,no_crisis
890,63,TUN,Tunisia,2008,0,1.3099,0,0,0.0,4.913,1,0,0,no_crisis
891,63,TUN,Tunisia,2009,0,1.3173,0,0,0.0,3.53,1,0,0,no_crisis
892,63,TUN,Tunisia,2010,0,1.4379,0,0,0.0,4.409,1,0,0,no_crisis
893,63,TUN,Tunisia,2011,0,1.4993,0,0,0.0,3.5410000000000004,1,0,0,no_crisis
894,63,TUN,Tunisia,2012,0,1.5506,0,0,0.0,5.138999999999999,1,0,0,no_crisis
895,63,TUN,Tunisia,2013,0,1.6530956959999998,0,0,0.0,5.805,1,0,0,no_crisis
896,63,TUN,Tunisia,2014,0,1.8624117980000001,0,0,0.0,4.9239999999999995,1,0,0,no_crisis
